,cap,chair,laptop,telephone,friend,pen,bed,candles,bicycle,towel,bench,cloud,cake,mirror,clothes,door,sand,fan,hat,field,clock,backpack,water,bottle,exam,speaker,kettlebell,music,kitchen,car,egg,plant,tree,sunglasses,hammer,guitar,ball,wind,cat,rug,path,church,painting,family,toaster,jacuzzi,co-worker,fireworks,bus,table,kayak
cap,0.99999994,0.45187345,0.1404938,0.053738087,0.09834674,0.38608956,0.3866292,0.16162625,0.30809632,0.45351446,0.5457012,0.42239717,0.29371452,0.33771887,0.39984995,0.4498401,0.46355128,0.29909572,0.6713495,0.4682644,0.36720192,0.29277515,0.46778432,0.5135354,0.27531287,0.0031564254,-0.00771641,0.15368217,0.22295794,0.3326453,0.3398979,0.22733055,0.39336205,0.49126673,0.40433338,0.21998686,0.5324121,0.36889464,0.40282404,0.3809253,0.31806675,0.21777228,0.27101895,0.14506823,-0.066289775,0.008370556,-0.31022766,0.19475846,0.16886349,0.4720653,0.099193014
chair,0.45187345,1.0,0.21095467,0.24742448,0.43472773,0.35931125,0.5256057,0.167576,0.31000775,0.46187547,0.57817066,0.33286196,0.36835873,0.4734652,0.35321268,0.6252029,0.28680605,0.27462608,0.4146896,0.45466295,0.4327563,0.21368277,0.38599727,0.26077807,0.37128788,0.51779217,-0.11180709,0.3351676,0.57174325,0.257276,0.33029544,0.19090486,0.36127925,0.26829368,0.45880294,0.29599866,0.43736243,0.2494482,0.29425296,0.380413,0.26706454,0.40379003,0.36243203,0.33190244,-0.011431584,0.20765309,0.117542475,0.10062427,0.21829742,0.5915806,0.036817532
laptop,0.1404938,0.21095467,1.0,0.5314049,0.2942077,0.28367215,0.39393297,0.2577756,0.3945325,0.23171686,0.15055072,0.26827297,0.21829194,0.3434239,0.49335608,0.5410233,-0.012108438,0.2983256,0.28584486,0.18940522,0.43977946,0.6628995,0.21458516,0.4140302,0.31319916,0.20642294,0.009068169,0.21657336,0.46835083,0.54136986,0.14034161,0.28821847,0.2672137,0.4199337,0.07658963,0.23441318,0.26629603,0.12807292,0.2920031,0.22564629,0.17987682,0.043107297,0.18870682,0.27148277,0.32803255,0.15393543,0.15857793,0.15577362,0.3914563,0.29889286,0.08747272
telephone,0.053738087,0.24742448,0.5314049,1.0,0.41732174,0.2764386,0.33838457,0.1738879,0.29260683,0.18620218,0.17878672,0.30361474,0.17051885,0.36858687,0.29115668,0.51937336,0.058628723,0.38209808,0.08325352,0.3318923,0.4434575,0.18616728,0.35521474,0.17671625,0.26157278,0.5156449,-0.2886656,0.37843275,0.3398609,0.494247,0.09775711,0.30364323,0.15631558,0.10666778,0.057102066,0.2493267,0.239553,0.3067349,0.14853399,0.04284267,0.29541844,0.3016096,0.06623873,0.47055686,0.07095067,-0.012513943,-0.015432522,0.2375601,0.57577753,0.36040238,0.12691718
friend,0.09834674,0.43472773,0.2942077,0.41732174,1.0,0.3281898,0.4584676,0.12725914,0.17877966,0.1683931,0.3235579,0.12973902,0.28285187,0.31811234,0.42288548,0.50557125,0.15190923,0.5730732,0.35905993,0.31439108,0.16281748,0.18556052,0.22079493,0.26455438,0.0746984,0.4631106,-0.38539034,0.45744288,0.43996227,0.4347448,0.20702296,0.1889328,0.32191244,0.19417709,0.3186435,0.41434705,0.41213188,0.20059922,0.44959825,0.027695732,0.29685456,0.4097861,0.40601107,0.7233044,0.0049575344,-0.0035524815,0.5040268,0.014036403,0.29611918,0.29751378,-0.007482402
pen,0.38608956,0.35931125,0.28367215,0.2764386,0.3281898,1.0,0.23770732,0.25180125,0.30196446,0.4077263,0.14754492,0.30607995,0.40392774,0.47432113,0.2773565,0.34904075,0.30949116,0.4709894,0.5806817,0.22539094,0.27824908,0.27777728,0.30749476,0.4678195,0.32613853,0.33896875,-0.25691375,0.29224294,0.22258437,0.26361752,0.35419676,0.11887604,0.36110228,0.38579768,0.47427478,0.20958914,0.4031635,0.30922276,0.50976825,0.30711305,0.2533287,0.16728896,0.4600423,0.16062298,0.3195588,0.14140318,-0.0011112243,0.22585662,0.13041385,0.39425462,0.19205338
bed,0.3866292,0.5256057,0.39393297,0.33838457,0.4584676,0.23770732,1.0,0.44815862,0.35441917,0.5752429,0.36529413,0.4456692,0.5593974,0.5288684,0.66126454,0.73547316,0.59860396,0.26501676,0.3792556,0.29228377,0.4769704,0.5453218,0.66256505,0.5363682,0.29069433,0.17137326,-0.12078971,0.27922076,0.74117756,0.47918373,0.46967244,0.302948,0.6154389,0.36831516,0.27458215,0.30088246,0.43948933,0.4390454,0.54301095,0.4283272,0.40896338,0.30968794,0.32619584,0.49018136,0.1718631,0.4187939,0.09552569,0.21825817,0.4698354,0.5605858,0.2716651
candles,0.16162625,0.167576,0.2577756,0.1738879,0.12725914,0.25180125,0.44815862,1.0,0.12920536,0.41226345,0.20405391,0.28821224,0.48193508,0.3070833,0.49217767,0.40871435,0.27257305,0.22949387,0.22733168,0.07832123,0.34191048,0.38836032,0.38567346,0.5281479,-0.06776747,0.094444074,-0.16334644,0.24099182,0.45733914,0.22553636,0.38237625,0.22766261,0.42535272,0.40460622,0.24091285,0.23728316,0.1543527,0.25831154,0.1334969,0.28691262,0.05685528,0.3545305,0.37430865,0.23563133,0.31175184,0.2968615,-0.04339493,0.5933764,0.26429585,0.3465299,-0.00080441963
bicycle,0.30809632,0.31000775,0.3945325,0.29260683,0.17877966,0.30196446,0.35441917,0.12920536,1.0,0.2571,0.12710609,0.21557917,0.14036658,0.2708732,0.41786313,0.50066006,0.2593941,0.2894112,0.39727098,0.38105994,0.45651865,0.51376736,0.3464721,0.35746995,0.23979658,-0.025639072,0.16081634,0.23131248,0.35819286,0.75602764,0.11780828,0.28859723,0.3370266,0.29827243,0.28127432,0.26652643,0.3753193,0.31012234,0.3612979,0.27255225,0.43320912,0.1069237,0.21988957,0.19097713,0.07599212,0.18081045,-0.041464593,0.38151482,0.7277323,0.33676726,0.5419997
towel,0.45351446,0.46187547,0.23171686,0.18620218,0.1683931,0.4077263,0.5752429,0.41226345,0.2571,1.0,0.41194096,0.31841505,0.6025628,0.38061678,0.584575,0.4925647,0.50872207,0.27181885,0.5840049,0.22649875,0.3677173,0.4637314,0.49815112,0.5892151,0.11609802,0.12311648,0.06958011,0.063194305,0.60755265,0.20879948,0.47514573,0.13301189,0.32101148,0.520122,0.3288288,0.18552025,0.53442377,0.24831304,0.37680995,0.6889635,0.029327186,0.034414276,0.22563809,0.10267711,0.3115654,0.40031147,0.045734636,0.3384003,0.13250709,0.50626,0.16894485
